    Ps have (part) atoms    1.0000
abundant conifer    Abundant conifers have features    1.0000
abundant energy    Abundant energy is locked in their many carbon-hydrogen bonds    0.7192
abundant harvest    Abundant harvest provides food    1.0000
abundant moisture    Abundant moisture increases growth    1.0000
abuse    Abuse is a form of violence where one person directly hurts another    0.7081
abuse alcohol    Abuse alcohol causes inflammation    1.0000
abused aerosol    Abused aerosols contain various hydrocarbon gasses that produce drug effects    0.7241
abuser    An abuser is an offender    1.0000
abutment    An abutment is support    1.0000
abutter    An abutter is a landowner    1.0000
acacia    Acacias have (part) tree branches    1.0000
acacia tree    Acacia trees have structures    1.0000
academe    An academe is a world    1.0000
academia    Academia is worlds    1.0000
academic    An academic is an educator    1.0000
academic degree    An academic degree is honor    1.0000
academic department    Academic departments are departments    1.0000
academic freedom    Academic freedom is freedom    1.0000
academic gown    An academic gown is a robe    1.0000
academic program    An academic program is an educational program    1.0000
academic relation    An academic relation is a social relation    1.0000
academic requirement    An academic requirement is a requirement    1.0000
academic subject    Academic subjects include mathematics    1.0000
academic term    An academic term is a term    1.0000
academic year    An academic year is a year    1.0000
academician    Academicians are scholars    1.0000
academism    An academism is traditionalism    1.0000
academy    Academies are educational organizations    1.0000
acadian flycatcher    Acadian flycatchers form bonds between males and females that can last more than one year    0.7924
acanthocephalan    An acanthocephalan is a worm    1.0000
acanthocyte    An acanthocyte is a corpuscle    1.0000
acantholysis    An acantholysis is skin disorder    1.0000
acanthosis    An acanthosis is skin disorder    1.0000
acanthus    An acanthus is a herb    1.0000
acaricide    Acaricides are chemicals that kill ticks while insecticides are chemicals that kill insects    0.8263
acau    Macau isa thing    1.0000
accelerated erosion    Accelerated erosion takes place by the action of water, wind, gravity and glaciers    0.7066
acceleration    Acceleration is the rate of change in velocity    0.7332
accelerator    Accelerators produce growth    1.0000
accelerometer    Accelerometers have (part) sections    1.0000
accent    Accents are pronunciation    1.0000
accent mark    An accent mark is a diacritic    1.0000
acceptability    Acceptability is quality    1.0000
acceptance    Acceptance isa attitude    1.0000
acceptor    An acceptor is a compound    1.0000
access    Access is companies    1.0000
access road    An access road is a road    1.0000
access time    Access time is time intervals    1.0000
accessibility    Accessibility is friendliness    1.0000
accessory gland    Accessory glands produce substances    1.0000
accessory gland substance    Accessory gland substances affect activities    1.0000
accessory pigment    Accessory pigment absorbs light    1.0000
accident    Accidents result from attempts    1.0000
accident victim    Accident victims need treatments    1.0000
accidental    An accidental is musical notation    1.0000
accidental amputation    Accidental amputation is the severance of a limb or part of a limb due to sudden trauma    0.7575
accidental block    Accidental blocks are rocks torn from the subvolcanic crust or mantle    0.7266
accidental injury    An accidental injury is an accident    1.0000
accidental poisoning    Accidental poisonings occur among humans and pets from poorly planned efforts to poison rats    0.7335
acclamation    Acclamation is commendation    1.0000
acclimation    Acclimation is adjustment    1.0000
acclimatisation    Acclimatisation is adjustment    1.0000
acclimatization    Acclimatization generally refers to the ability of living things to adjust to changes in climate    0.7063
accolade    Accolade is companies    1.0000
accommodation    Accommodation is located in motels    1.0000
accompaniment    Accompaniments are parts    1.0000
accompanist    Accompanists are musicians    1.0000
accomplice    An accomplice is an assistant    1.0000
accomplish diver    Accomplish divers use feet    1.0000
accomplishment    Accomplishment is actions    1.0000
accordance    Accordance is software    1.0000
accordion    Accordions have (part) sections    1.0000
accordion door    An accordion door is an interior door    1.0000
accordionist    An accordionist is a musician    1.0000
account    An account is a record    1.0000
account book    An account book is a record    1.0000
account executive    Account executives are businesspersons    1.0000
account number    Account numbers are accounts    1.0000
accountability    Accountability is responsibility    1.0000
accountant    Accountants are office workers    1.0000
accounting    Accounting are systems    1.0000
accounting clerk    Accounting clerks are office workers    1.0000
accounting entry    An accounting entry is a register    1.0000
accounting software    Accounting software is business software    1.0000
accounting standard    An accounting standard is a principle    1.0000
accounting system    An accounting system is a register    1.0000
accoustic neuroma    Accoustic neuromas can expand the internal auditory meatus and fill the cerebello-pontine angle    0.7591
accreditation    Accreditation is certifications    1.0000
accretion disc    Accretion disc is formed from a massive cloud of gas and dust in the space due to gravitation    0.7213
accrual    Accrual is an increase    1.0000
accrual basis    Accrual basises are accounting    1.0000
acculturation    Acculturation is education    1.0000
accumulation    Accumulation woulds have serious consequences    1.0000
accumulator    Accumulators are registers    1.0000
accuracy    Accuracy isa quality    1.0000
accurate analysis    Accurate analyses include calculations    1.0000
accurate diagnosis    Accurate diagnoses require examinations    1.0000
accurate interpretation    Accurate interpretations require knowledge    1.0000
accusation    Accusations are charge    1.0000
ace inhibitor    ACE inhibitors appear to decrease the amount of damage to the heart muscle following a heart attack    0.7009
ace of diamonds    An ace of diamonds is an ace    1.0000
acebutolol    An acebutolol is medicine    1.0000
acedia    Acedia is sin    1.0000
acellular cementum    Acellular cementum is usually immediately adjacent to the dentin    0.7515
acetal    Acetals are stable once they have formed    0.7284
acetal copolymer    Acetal copolymers have high tensile and flexural strength, fatigue resistance, and hardness    0.7029
acetal polymer    Acetal polymers are semi-crystalline    0.7431
acetate    Acetate is chemical compounds    1.0000
acetate ester    Acetate esters delay the release of a steroid for only a couple of days    0.7488
acetate filament    Acetate filament is used to make fabric for clothing manufacturers    0.7565
acetate ion    Acetate ion is the most abundant organic acid metabolite found in nature    0.7908
acetate kinase    Acetate kinase is found in microbes of the bacteria and archaea domains    0.8183
acetic acid    Acetic acid is a corrosive chemical    0.8283
acetic anhydride    Acetic anhydrides are anhydrides    1.0000
acetogenic bacteria    Acetogenic bacteria use the volatile fatty acids and form acetic, propionic, and lactic acids    0.8437
acetone    Acetone is a ketone    1.0000
acetyl    Acetyl is a radical    1.0000
acetyl residue    Acetyl residues undergo oxidation    1.0000
acetylation of histones    Acetylation of histones facilitates transcription    0.7681
acetylcholine    Acetylcholine plays numerous roles in the nervous system    0.7994
acetylcholine deficiency    Acetylcholine deficiency can predispose a person to a wide range of neurological diseases    0.7272
acetylene    Acetylene is chemical compounds    1.0000
ache    An ache is pain    1.0000
achene    Achenes are the fruit embedded in a fleshy receptacle    0.8155
achene dispersal    Achene dispersal is caused by rain, wind, and wildlife and continues into the winter    0.7200
achievement    Achievement requires tasks    1.0000
achiever    Achievers are people    1.0000
achiral molecule    Achiral molecules have internal symmetry, there is a plane of symmetry or a point of symmetry    0.7150
achis    Rachis is an axis bearing leaflets or flowers    0.8387
achondrite    Achondrites are rocks    1.0000
achondroplasia    An achondroplasia is a disease    1.0000
achondroplastic dwarfism    Achondroplastic dwarfism is an autosomal dominant genetic disorder of bone growth    0.7856
achromatic lens    An achromatic lens is a lens    1.0000
acid    Acids are a group of chemicals, usually in liquid form    0.8477
acid bacterium    Acid bacteria inhabit guts    1.0000
acid battery    Acid batteries contain electrolytes    1.0000
acid crystal    Acid crystal has sharp corners    1.0000
acid deposition    Acid deposition refers to the depositing of acids in both solid and and liquid form    0.7914
acid digestion    Acid digestion takes places    1.0000
acid drainage    Acid drainage is water containing acidity, iron, manganese, aluminum, and other metals    0.8024
acid dye    Acid dye is a dyestuff    1.0000
acid food    Acid foods pull calcium out of the body    0.7606
acid metabolism    Acid metabolism contributes to survival    1.0000
acid neutralization    Acid neutralization occurs from the physical restructuring of the water molecule    0.7854
acid phosphatase    Acid phosphatases are a group of enzymes that hydrolyze esters of orthophosphoric acid    0.8380
acid precipitation    Acid precipitation has productivity    1.0000
acid reflux    Acid reflux is a digestive condition that occurs when stomach acid flows back up into the esophagus    0.8209
acid rock    An acid rock is rock music    1.0000
acid solution    Acid solutions have concentration    1.0000
acid strength    Acid strength is measured by the extent of the overall reaction of the acid with water    0.7387
acidemia    Acidemia increases the volume of distribution by facilitating salicylate tissue penetration    0.7223
acidic anhydride    Acidic anhydride is an oxide that reacts with water to form an acid    0.8558
acidic fluid    Acidic fluid contains substances    1.0000
acidic food    Acidic foods slow down the absorption of liquids    0.7616
acidic gas    Acidic gases cause damage    1.0000
acidic hydrogen    Acidic hydrogen is a hydrogen atom    1.0000
acidic lake    Acidic lakes have fish    1.0000
acidic oxide    Acidic oxides are usually oxides of non-metals    0.8191
acidic stain    Acidic stains bind to positively charged cell structures like proteins    0.8114
acidic stomach    Acidic stomachs break down sensitive enzymes    1.0000
acidic water    Acidic water affects health    1.0000
acidification    Acidification is an action    1.0000
acidified soil    Acidified soil is stripped of necessary nutrients that help plants survive cold temperatures    0.7419
acidophil    Acidophils stain red    0.7706
acidophilus    An acidophilus is a lactobacillus    1.0000
acidosis    Acidosis is due to the rapid fermentation of starch in the rumen and over-production of lactic acid    0.8085
acing    Acings are goals    1.0000
acknowledgement    Acknowledgement isa situation    1.0000
acne    Acne is an inflammatory disease    1.0000
acne medication    Acne medication is located in pharmacies    1.0000
acne rosacea    An acne rosacea is acne    1.0000
acne treatment    Acne treatments are medical treatments    1.0000
acoelomate flatworm    Acoelomate flatworms are more closely related to echinoderms than to annelids    0.7521
acolyte    Acolytes are clergymans    1.0000
acorn    Acorns are part of oak    1.0000
acorn squash    Acorn squash is part of acorn squash    1.0000
acoustic    Acoustics are physical science    1.0000
acoustic guitar    Acoustic guitars are located in rock bands    1.0000
acoustic impedance    Acoustic impedance is a ratio of pressure to flow    0.7418
acoustic instrument    Acoustic instruments are musical instruments    1.0000
acoustic music    Acoustic music is music    1.0000
acoustic neuroma    Acoustic neuromas are a type of schwannoma    0.7266
acoustic radiation    Acoustic radiation is propagated as Sound waves    0.7339
acoustic tumor    Acoustic tumors can develop on the auditory and vestibular nerve    0.7611
acoustic wave    An acoustic wave is a wave    1.0000
acquaintance    Acquaintances are people    1.0000
acquaintance rape    Acquaintance rape is non-consensual sex between two people who know each other    0.7020
acquired diabete    Acquired diabetes is due to abuse and neglect of the body    0.7532
acquired hydrocephalus    Acquired hydrocephalus is hydrocephalus that develops after birth    0.7134
acquired immunity    Acquired immunity is resistance    1.0000
acquired infection    Acquired infection is transmitted by sexual contact    0.7189
acquired mutation    Acquired mutations are changes in DNA that develop throughout a persons life    0.7470
acquired stenosis    Acquired stenosis is a degenerative condition    0.7458
acquisition    An acquisition is a getting    1.0000
acre    Acre isa unit    1.0000
acreage    Acreages are areas    1.0000
acridine orange    Acridine orange is hydrophobic in neutral pH, but is protonated in acidic conditions    0.7742
acrimony    Acrimony is a disposition    1.0000
acrobat    Acrobats have (part) material bodies    1.0000
acrobat ant    Acrobat ants are capable of nesting inside buildings, sometimes inside insulated spaces    0.8158
acrocentric chromosome    Acrocentric chromosomes have the centromere located very near to one end    0.7955
acromial spur    Acromial spurs can also form by ossification of the acromial end of the coracoacromial ligament    0.7191
acronym    Acronyms are abbreviations    1.0000
acrophobia    Acrophobias are phobia    1.0000
acrosomal protease    Acrosomal proteases allow the sperm to bore through the zona pellucida and fertilize the egg    0.8505
acrostic    An acrostic is a teaser    1.0000
acrylamide    Acrylamide induces chromosomal aberrations in somatic cells of rodents in vivo     0.7538
acrylate monomer    Acrylate monomers are more reactive than methacrylates    0.7468
acrylic    Acrylic is located in paint    1.0000
acrylic acid    Acrylic acid is chemical compounds    1.0000
acrylic fiber    Acrylic fiber is synthetic fiber    1.0000
acrylic gesso    Acrylic gesso is used to prepare surfaces for paint    0.7116
acrylic paint    Acrylic paint is paint    1.0000
acrylic painting    Acrylic paintings is paintings    1.0000
acrylic plastic    Acrylic plastic is a combustible thermoplastic    0.7255
acrylic resin    Acrylic resins are skin irritants and sensitizers    0.8374
acrylonitrile vapor    Acrylonitrile vapor is an asphyxiant due to inhibitory action on metabolic enzyme systems    0.7999
act    Acts are events    1.0000
act of terrorism    Act of terrorism is terror    1.0000
acteria    Bacteria are present in all regions of lentic waters    0.7875
acteria cell    Bacteria cells reproduce through cell division    0.8231
actin    Actin isa protein    1.0000
actin filament    Actin filaments mediate DNA fiber formation in chronic inflammatory airway disease    0.8281
actin network    Actin networks are loosely crosslinked actin filaments    0.7774
actin polymerization    Actin polymerization pushes the cell membrane forward during cellular locomotion    0.7946
acting    Acting are part of performance    1.0000
actinic keratosis    Actinic keratosis is diseases    1.0000
actinide    Actinides are unstable and undergo radioactive decay     0.7778
actinitic keratosis    Actinitic keratosis is a precancerous skin condition    0.8188
actinium    An actinium is an element    1.0000
actinoid    Actinoids are in the f-block    0.7641
actinomycete    Actinomycetes are a b c d archaea that are spiral-shaped    0.8256
actinomycosis    Actinomycosis is zoonosis    1.0000
action    Actions produce results    1.0000
action committee    Action committees release ads    1.0000
action figure    Action figures are used for play    1.0000
action game    Action games are computer games    1.0000
action group    Action groups are political parties    1.0000
action movie    Action movies are movies    1.0000
action officer    An action officer is an operative    1.0000
action pistol    Action pistols fire single bullets    1.0000
action potential    Action potentials are generated that move from the tentacles to the leaf surface    0.7339
action replay    Action replay is repetition    1.0000
activated carbon    Activated carbon is a carbonic material having many fine openings connected with each other    0.7897
activated eosinophil    Activated eosinophils have a vastly greater capacity to cause heart damage    0.7012
activated kinase    Activated kinases phosphorylate tyrosine residues on Ig a and b     0.8126
activated macrophage    Activated macrophages have an important role in phagocytosis    0.7874
activated microglia    Activated microglia are the principal source of thromboxane in the central nervous system    0.8016
activated oxygen    Activated oxygen is the oxygen molecule that has been split into two separate oxygen atoms    0.8374
activated receptor    Activated receptors open chemically gated sodium channels and depolarize the postsynaptic membrane    0.8048
activated transposon    Activated transposons create both gene mutation and chromosome rearrangement    0.7342
activation    Activations interfere with mouse embryo development    1.0000
activation energy    Activation energy is the energy required to get spontaneous reactions going    0.7555
activation function domain    Activation function domains have similarity    1.0000
activator protein    Activator proteins induce expression by assisting RNA polymerase in promoter recognition    0.8027
active    An active is a chemical agent    1.0000
active agent    An active agent is a chemical agent    1.0000
active application    Active applications are applications    1.0000
active behavior    Active behaviors are normal human movements like walking, running, and crawling    0.7276
active birth    An active birth is a vaginal birth    1.0000
active carbon    Active carbon is produced by heat-treating different organic materials    0.8043
active caspase    Active caspases participate in a cascade of proteolytic cleavage events in dying cells    0.8102
active citizen    An active citizen is a citizen    1.0000
active compound    Active compounds remain in upper atmospheres    1.0000
active decay    Active decay is characterized by the period of greatest mass loss    0.7051
active dendrite    Active dendrites regulate spatio- temporal integration in hippocampal dentate granule cells    0.7833
active gene    Active genes tend to be associated with the nuclear matrix    0.7541
active hyperemia    Active hyperemia occurs as a result of increased metabolism    0.7997
active immunity    Active immunity is harmed by anything that damages the cellular or humoral immune systems    0.7543
active immunization    Active immunization provides protection    1.0000
active ingredient    Active ingredient is the specific chemical which kills or controls the target pests    0.7626
active labor    Active labor is the phase in which there is more rapid cervical dilatation    0.7018
active little bird    Active little birds have senses    1.0000
active muscle    Active muscles use a form of stored glucose called glycogen as energy for work    0.8003
active ozone    Active ozone is carried directly to the tissues    0.7518
active peptide    Active peptides are present inside cytoplasmic granules of the amoeba trophozoite    0.8037
active predation    Active predation means hunting by seeking out or searching for their prey    0.7460
active radical    Active radicals produced by aerobic metabolism can cause damage to living cells    0.8225
active site    Active sites are the clefts or crevices to which the substrate binds    0.7437
active substance    Active substances work internally and externally to balance, detoxify, and refresh    0.7392
active tuberculosis    Active tuberculosis results due to the release of bacilli that survive within the granulomas    0.7854
active voice    Active voices are voices    1.0000
active volcano    Active volcanos are volcanos    1.0000
activism    Activism is policy    1.0000
actor    Actors learn performance    1.0000
actress    Actresses have (part) heads    1.0000
actual cost    Actual cost depends on several factors    1.0000
actual damage    Actual damage is damage    1.0000
actual evaporation    Actual evaporation depends on availability    1.0000
actual eviction    Actual eviction is dispossession    1.0000
actual existence    Actual existence depends on causes    1.0000
actual growth    Actual growth occurs in few years    1.0000
actual locomotion    Actual locomotion is effected by changing the length of the body    0.7071
actual migration    Actual migration takes places    1.0000
actual phenomenon    Actual phenomena occur during seasons    1.0000
actual possession    An actual possession is a possession    1.0000
actual virus infection    Actual virus infection has mimicry    1.0000
actuality    Actuality isa being    1.0000
actuarial table    An actuarial table is a table    1.0000
actuary    Actuaries are office workers    1.0000
actuation    An actuation is an act    1.0000
actuator    Actuators are devices designed to create motion    0.7020
acuity    Acuity is clearness, or sharpness of vision    0.7205
acupressure    An acupressure is a treatment    1.0000
acupuncture    Acupuncture is the insertion of very fine needles into specific points of the body    0.7991
acupuncture needle    Acupuncture needles are devices intended to pierce the skin in the practice of acupuncture    0.7286
acute    An acute is an accent mark    1.0000
acute appendicitis    Acute appendicitis is the most common surgical disease of the abdomen    0.7126
acute cholecystitis    Acute cholecystitis causes bile to become trapped in the gallbladder    0.7800
acute disease    Acute diseases are characterized by symptoms    1.0000
acute disorder    Acute disorder is caused by deposition    1.0000
acute dose    Acute dose is the amount of radiation received by an individual in a short period of time    0.7447
acute effect    Acute effects are adverse effects that occur immediately or shortly after exposure to a toxicant    0.7388
acute epiglottitis    Acute epiglottitis is a medical emergency    0.7105
acute ergotism    Acute ergotism produces alkaloids, which are toxic    0.7152
acute exposure    Acute exposure causes damage    1.0000
acute fatigue    Acute fatigue can be a protective body function, alerting a person to rest    0.7119
acute gastritis    Acute gastritis is gastritis    1.0000
acute gastroenteritis    Acute gastroenteritis is a common disease of adults and children worldwide    0.7328
acute glaucoma    Acute glaucoma is glaucoma    1.0000
acute illness    Acute illnesses require therapy    1.0000
acute infection    Acute infection is caused by viruses    1.0000
acute inflammation    Acute inflammation is the final common pathway through which pain is mediated    0.7539
acute inflammatory disease    Acute inflammatory diseases are characterized by symptoms    1.0000
acute inflammatory disorder    Acute inflammatory disorder is caused by deposition    1.0000
acute ingestion    Acute ingestion reduces gastrointestinal absorption    1.0000
acute insomnia    Acute insomnia is defined as periods of sleep difficulty lasting between one night and a few weeks    0.7374
acute kidney injury    Acute kidney injuries require replacement therapy    1.0000
acute laryngitis    Acute laryngitis is the sudden inflammation and swelling of the larynx    0.8124
acute leukaemia    Acute leukaemia is the most common type of malignancy encountered in children    0.7098
acute leukemia    Acute leukemia is leukemia    1.0000
acute mortality    Acute mortality is attributed to dysrhythmias caused by hypoxia    0.7586
acute nephritis    Acute nephritis is severe inflammation of the kidneys    0.8258
acute pain    Acute pain is pain of a relatively short duration    0.7062
acute phase protein    Acute phase proteins play various roles    1.0000
acute poliomyelitis    Acute poliomyelitis causes degeneration of anterior horn cells, followed by denervation    0.7273
acute prostatitis    Acute prostatitis causes sudden onset of fever, chills, painful urination and pain in the testicles    0.7581
acute pyelonephritis    Acute pyelonephritis is an inflammatory disease    1.0000
acute rejection    Acute rejection is an inflammation of the transplanted kidney    0.7148
acute salpingitis    Acute salpingitis is of infectious etiology    0.7031
acute sense    Acute senses are adaptations that go along with the active, carnivorous lifestyle of sharks    0.8027
acute silicosis    Acute silicosis is a rapidly progressive, incurable lung disease that is typically fatal    0.7252
acute sinusitis    Acute sinusitis is an inflammation of membranes lining the sinuses    0.7971
acute stressor    Acute stressors stimulate on secretion and increase epithelial permeability in rat intestine    0.7587
acute toxicity    Acute toxicity refers to a contaminant's ability to cause immediately detectable health problems    0.7166
acute viral infection    Acute viral infection is caused by viruses    1.0000
acyl chloride    Acyl chlorides are the most reactive carboxylic acid derivatives    0.7844
ad    An ad is publicity    1.0000
ad agency    An ad agency is an agency    1.0000
adamantine luster    Adamantine luster is the brilliant luster for diamonds and other gemstones    0.7438
adaptability    Adaptability is ability    1.0000
adaptation    Adaptations help animals to find and eat food, to avoid predators, to move, and to reproduce    0.7331
adapter    Adapters are devices    1.0000
adaption    An adaption is a biological process    1.0000
adaptive behavior    Adaptive behavior has effects    1.0000
adaptive immunity    Adaptive immunity is the second barrier to infection    0.7252
adaptive radiation    Adaptive radiation is radiation    1.0000
adaptive variation    Adaptive variation occurs at levels    1.0000
adaptor    An adaptor is a device    1.0000
add boil water    Add boil water wills have results    1.0000
add more fiber    Add more fiber helps constipation    1.0000
add more potassium    Add more potassium helps excretion    1.0000
addax    Addaxs have (part) cytoplasm    1.0000
adder    Adders live in mild climates    1.0000
addiction    Addiction is the loss of control associated with taking a drug    0.7355
addiction module    Addiction modules are genetic systems which mediate programmed cell death in bacteria    0.7403
addictive drug    Addictive drugs activate the brain's reward systems    0.7812
addition    Addition has significant effects    1.0000
addition reaction    Addition reaction is reaction    1.0000
additional artery    Additional arteries branch off the two main coronary arteries to supply the heart muscle with blood    0.7316
additional complexity    Additional complexity arises from facts    1.0000
additional constraint    Additional constraints limit potential    1.0000
additional duty    Additional duties include measurements    1.0000
additional estrogen    Additional estrogen is made by hormone-producing tissue within the stroma    0.7405
additional evidence    Additional evidence suggests decomposition    1.0000
additional factor    Additional factors include production cost    1.0000
additional heat    Additional heat raises temperature    1.0000
additional input    Additional input exacerbates problems    1.0000
additional investigation    Additional investigations focus on behavior    1.0000
additional layer    Additional layers contain bacteria    1.0000
additional mechanism    Additional mechanisms involve in effects    1.0000
additional observation    Additional observations show occurrences    1.0000
additional patent    Additional patents govern use    1.0000
additional risk factor    Additional risk factors include production cost    1.0000
additive    Additives are chemical elements    0.8134
additive color    Additive color is light created by mixing together light of two or more different colors    0.7348
additive concentrate    Additive concentrate is corrosive to skin and aluminum    0.7938
address    Addresses are direction    1.0000
address book    Address books are books    1.0000
address label    Address labels are located in offices    1.0000
addressee    An addressee is an acquirer    1.0000
adduct    An adduct is a compound    1.0000
adduction    Adductions are motion    1.0000
adductor    An adductor is a striated muscle    1.0000
adductor muscle    An adductor muscle is a striated muscle    1.0000
